Implement,Name,SamAccountName,GroupCategory,GroupScope,DisplayName,Description
Yes,BizTalk_SSOAdministrators,BizTalk_SSOAdministrators,Security,Global,BizTalk_SSOAdministrators,BizTalk SSO Administrators
Yes,BizTalk_SSOAffiliateAdministrators,BizTalk_SSOAffiliateAdministrators,Security,Global,BizTalk_SSOAffiliateAdministrators,BizTalk SSO Affiliate Administrators
Yes,BizTalk_ServerAdministrators,BizTalk_ServerAdministrators,Security,Global,BizTalk_ServerAdministrators,BizTalk Server Administrators
Yes,BizTalk_ServerOperators,BizTalk_ServerOperators,Security,Global,BizTalk_ServerOperators,BizTalk Server Operators
Yes,BizTalk_ApplicationUsers,BizTalk_ApplicationUsers,Security,Global,BizTalk_ApplicationUsers,BizTalk Application Users
Yes,BizTalk_IsolatedHostUsers,BizTalk_IsolatedHostUsers,Security,Global,BizTalk_IsolatedHostUsers,BizTalk Isolated Host Users
